Global Land and Ocean Temperature Anomalies, June
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999.0000
Year,Value
1880,-0.18
1881,-0.10
1882,-0.14
1883,-0.01
1884,-0.20
1885,-0.31
1886,-0.25
1887,-0.21
1888,-0.09
1889,-0.07
1890,-0.28
1891,-0.20
1892,-0.28
1893,-0.24
1894,-0.35
1895,-0.28
1896,-0.08
1897,-0.09
1898,-0.20
1899,-0.19
1900,-0.04
1901,-0.12
1902,-0.33
1903,-0.37
1904,-0.44
1905,-0.24
1906,-0.17
1907,-0.37
1908,-0.41
1909,-0.42
1910,-0.36
1911,-0.44
1912,-0.26
1913,-0.38
1914,-0.19
1915,-0.08
1916,-0.38
1917,-0.33
1918,-0.16
1919,-0.23
1920,-0.25
1921,-0.16
1922,-0.27
1923,-0.19
1924,-0.22
1925,-0.22
1926,-0.11
1927,-0.19
1928,-0.26
1929,-0.27
1930,-0.10
1931,-0.02
1932,-0.16
1933,-0.20
1934,-0.00
1935,-0.17
1936,-0.11
1937,0.01
1938,-0.09
1939,-0.01
1940,0.10
1941,0.16
1942,0.20
1943,0.02
1944,0.33
1945,0.14
1946,-0.11
1947,0.01
1948,-0.02
1949,-0.16
1950,-0.06
1951,0.03
1952,0.04
1953,0.12
1954,-0.12
1955,-0.07
1956,-0.15
1957,0.15
1958,0.06
1959,0.08
1960,0.07
1961,0.15
1962,0.06
1963,0.05
1964,-0.10
1965,-0.05
1966,0.05
1967,-0.03
1968,-0.02
1969,0.07
1970,0.02
1971,-0.13
1972,0.07
1973,0.19
1974,-0.04
1975,0.03
1976,-0.08
1977,0.24
1978,0.05
1979,0.21
1980,0.24
1981,0.28
1982,0.12
1983,0.26
1984,0.13
1985,0.13
1986,0.25
1987,0.30
1988,0.39
1989,0.27
1990,0.40
1991,0.48
1992,0.28
1993,0.29
1994,0.38
1995,0.46
1996,0.35
1997,0.53
1998,0.66
1999,0.42
2000,0.41
2001,0.53
2002,0.58
2003,0.54
2004,0.47
2005,0.67
2006,0.63
2007,0.53
2008,0.53
2009,0.67
2010,0.73
2011,0.65
2012,0.70
2013,0.68
2014,0.76
2015,0.89
2016,0.91
2017,0.78
